Id1,Name1,Type1,Source1,Latitude1,Longitude1,Id2,Name2,Type2,Source2,Latitude2,Longitude2,Decision
1,Kings Cross,Pub,OpenStreetMaps,51.4781034,-3.1757317,64,Kings Cross,Eating&Drinking,OpenStreetMaps,51.4781034,-3.1757317,TRUE
2,Ask,Restaurant,OpenStreetMaps,51.4774563,-3.1759291,62,Ask,Eating&Drinking,OpenStreetMaps,51.4774563,-3.1759291,TRUE
3,Vue,cinema,OpenStreetMaps,51.4768554,-3.1815465,71,Vue,Leisure,OpenStreetMaps,51.4768554,-3.1815465,TRUE
4,Jongleurs Comedy Club,Pub,OpenStreetMaps,51.4768041,-3.1813707,47,Jongleurs Comedy Club,Eating&Drinking,OpenStreetMaps,51.4768041,-3.1813707,TRUE
5,Burger King,fast_food,OpenStreetMaps,51.4812308,-3.1790218,51,Burger King,Eating&Drinking,OpenStreetMaps,51.4812308,-3.1790218,TRUE
6,Natwest,bank,OpenStreetMaps,51.4823668,-3.1736504,78,Natwest,Night Life and Business,OpenStreetMaps,51.4823668,-3.1736504,TRUE
6,Natwest,bank,OpenStreetMaps,51.4823668,-3.1736504,33,Nandos,Restaurant,OpenStreetMaps,51.4782128,-3.1767494,FALSE
6,Natwest,bank,OpenStreetMaps,51.4823668,-3.1736504,34,Yates,Pub,OpenStreetMaps,51.4791964,-3.1805946,FALSE
6,Natwest,bank,OpenStreetMaps,51.4823668,-3.1736504,49,Yates,Eating&Drinking,OpenStreetMaps,51.4791964,-3.1805946,FALSE
7,Cineworld,cinema,OpenStreetMaps,51.4787927,-3.1730967,75,Cineworld,Leisure,OpenStreetMaps,51.4787927,-3.1730967,TRUE
7,Cineworld,cinema,OpenStreetMaps,51.4787927,-3.1730967,495,Cineworld Cardiff,cinema,Foursquare.com,51.478917,-3.172978,TRUE
7,Cineworld,cinema,OpenStreetMaps,51.4787927,-3.1730967,476,Cotswold,Outdoor store,OpenStreetMaps,51.4795168,-3.1776376,FALSE
